Planet Name,Eff. Temp (K),K Magnitude,Radius (R_oplus),Equil. Temp (K),Maximum Tier,Preferred Method
55Cnce,5196,4.01,1.87,1997,2,Transit
CoRoT-10b,5075,11.78,10.64,685,1,Transit
CoRoT-11b,6440,11.25,15.69,1771,2,Eclipse
CoRoT-19b,6090,11.84,14.16,1697,2,Eclipse
CoRoT-2b,5625,10.31,16.09,1582,3,Eclipse
CoRoT-23b,5900,12.36,11.52,1679,2,Eclipse
CoRoT-28b,5150,11.03,10.48,1395,1,Eclipse
CoRoT-3b,6740,11.62,11.08,1737,1,Eclipse
EPIC211945201b,6069,8.84,5.64,913,1,Transit
EPIC246851721b,6202,9.89,11.53,1434,2,Transit
GJ1132b,3270,8.32,1.16,636,2,Transit
GJ1214b,3026,8.78,2.79,627,3,Transit
GJ3470b,3600,7.99,4.48,698,2,Transit
GJ436b,3475,6.07,4.08,681,3,Transit
GJ9827b,4269,7.19,1.59,1198,1,Transit
GJ9827d,4269,7.19,2.03,695,1,Transit
HAT-P-1b,5980,8.86,14.47,1353,3,Eclipse
HAT-P-11b,4780,7.01,4.27,848,2,Transit
HAT-P-12b,4650,10.11,10.52,979,2,Transit
HAT-P-13b,5653,8.98,13.96,1685,2,Eclipse
HAT-P-14b,6600,8.85,15.58,1601,2,Eclipse
HAT-P-15b,5568,9.64,11.63,917,2,Eclipse
HAT-P-16b,6158,9.55,14.14,1664,3,Eclipse
HAT-P-17b,5246,8.54,11.52,793,2,Transit
HAT-P-18b,4803,10.23,10.92,867,2,Transit
HAT-P-19b,4990,10.55,12.42,1032,2,Transit
HAT-P-20b,4595,8.6,9.51,990,3,Transit
HAT-P-21b,5588,10.11,12.18,1303,2,Transit
HAT-P-22b,5302,7.84,12.62,1307,3,Eclipse
HAT-P-23b,5905,10.79,11.96,2094,2,Eclipse
HAT-P-24b,6373,10.54,14.27,1672,2,Eclipse
HAT-P-25b,5519,10.82,12.45,1209,2,Eclipse
HAT-P-26b,5079,9.58,6.91,1013,2,Transit
HAT-P-27b,5300,10.11,11.19,1236,2,Eclipse
HAT-P-28b,5680,11.1,13.3,1412,2,Eclipse
HAT-P-29b,6087,10.3,12.84,1285,2,Eclipse
HAT-P-3b,5185,9.45,10.31,1184,2,Eclipse
HAT-P-30b,6304,9.15,15.8,1675,3,Eclipse
HAT-P-31b,6065,10.08,11.96,1408,2,Transit
HAT-P-32b,6207,9.99,19.2,1823,3,Eclipse
HAT-P-33b,6446,10,20.3,1816,3,Eclipse
HAT-P-34b,6442,9.25,14.81,1333,2,Eclipse
HAT-P-36b,5560,10.6,12.62,1858,2,Eclipse
HAT-P-37b,5500,11.67,12.93,1306,2,Eclipse
HAT-P-38b,5330,10.5,9.05,1101,1,Transit
HAT-P-39b,6430,11.16,17.24,1789,2,Eclipse
HAT-P-4b,5860,9.77,13.98,1472,2,Eclipse
HAT-P-40b,6080,10.01,16.68,1805,2,Eclipse
HAT-P-41b,6390,9.73,22.5,1981,3,Eclipse
HAT-P-42b,5743,10.63,14.05,1460,2,Eclipse
HAT-P-43b,5645,11.76,14.06,1386,2,Eclipse
HAT-P-44b,5295,11.28,13.63,1130,2,Transit
HAT-P-45b,6330,10.2,15.65,1686,2,Eclipse
HAT-P-46b,6120,9.92,14.09,1488,2,Eclipse
HAT-P-49b,6820,9.35,17.45,2171,3,Eclipse
HAT-P-5b,5960,10.48,13.28,1569,2,Eclipse
HAT-P-50b,6280,10.5,14.13,1897,2,Eclipse
HAT-P-51b,5449,11.61,14.19,1216,2,Transit
HAT-P-52b,5131,11.62,11.07,1241,2,Eclipse
HAT-P-53b,5956,12.1,14.46,1818,2,Eclipse
HAT-P-54b,4390,10.33,10.36,839,2,Eclipse
HAT-P-55b,5808,11.63,12.97,1342,2,Eclipse
HAT-P-56b,6566,9.83,16.57,1880,2,Eclipse
HAT-P-57b,6330,9.43,19.09,1895,3,Eclipse
HAT-P-6b,6570,9.31,16.24,1706,3,Eclipse
HAT-P-65b,5835,11.53,20.74,1974,2,Eclipse
HAT-P-66b,6002,11.68,17.45,1944,2,Eclipse
HAT-P-67b,6406,8.9,22.88,1967,3,Transit
HAT-P-7b,6389,9.33,16.57,2272,3,Eclipse
HAT-P-8b,6200,8.95,15.36,1809,3,Eclipse
HAT-P-9b,6350,11.02,15.36,1565,2,Eclipse
HATS-1b,5870,10.58,14.29,1399,2,Eclipse
HATS-10b,5880,11.51,10.63,1435,1,Eclipse
HATS-11b,6563,12.24,17.66,1783,2,Eclipse
HATS-12b,6357,11.39,7.59,1614,1,Transit
HATS-13b,5523,11.98,13.3,1276,2,Eclipse
HATS-17b,5846,10.7,8.53,832,1,Transit
HATS-2b,5227,11.39,12.82,1614,2,Eclipse
HATS-22b,4803,10.94,10.46,877,2,Transit
HATS-24b,6346,11.38,16.32,2121,2,Eclipse
HATS-25b,5715,11.42,13.83,1307,2,Eclipse
HATS-26b,6071,11.44,19.2,1964,2,Eclipse
HATS-27b,6438,11.55,16.46,1693,2,Eclipse
HATS-29b,5670,10.88,13.73,1236,2,Eclipse
HATS-3b,6351,10.69,15.15,1682,2,Eclipse
HATS-30b,5943,10.79,12.89,1446,2,Eclipse
HATS-31b,6050,11.57,18,1867,2,Eclipse
HATS-33b,5659,10.29,13.5,1460,2,Eclipse
HATS-35b,6300,11.12,16.06,2076,2,Eclipse
HATS-39b,6572,11.52,17.23,1683,2,Eclipse
HATS-4b,5403,11.61,11.19,1350,2,Eclipse
HATS-40b,6460,12.15,17.34,2142,2,Eclipse
HATS-41b,6424,11.5,14.59,1716,1,Eclipse
HATS-43b,5099,11.56,12.95,1017,2,Transit
HATS-45b,6450,12.14,14.11,1551,1,Eclipse
HATS-46b,5495,11.96,9.91,1078,2,Transit
HATS-5b,5304,10.7,10.01,1047,2,Transit
HATS-51b,5758,10.87,15.47,1581,2,Eclipse
HATS-52b,6010,12.11,15.17,1922,2,Eclipse
HATS-6b,3724,11.22,10.95,729,2,Transit
HATS-60b,5688,10.99,12.65,1561,2,Eclipse
HATS-61b,5542,11.48,13.11,1252,1,Eclipse
HATS-64b,6554,11.7,18.42,1833,2,Eclipse
HATS-65b,6277,11.1,16.47,1670,2,Eclipse
HATS-67b,6594,12.33,18.49,2240,2,Eclipse
HATS-68b,6147,10.95,13.52,1781,2,Eclipse
HATS-7b,4985,10.98,6.18,1104,1,Transit
HATS-9b,5599,11.48,13.56,1953,2,Eclipse
HD106315c,6277,7.85,4.22,898,2,Transit
HD149026b,6179,6.82,8.12,1715,2,Eclipse
HD17156b,6040,6.76,12.07,904,2,Transit
HD189733b,5052,5.54,12.4,1230,3,Transit
HD209458b,6091,6.31,15.25,1487,3,Transit
HD219134b,4699,3.26,1.57,1040,2,Transit
HD3167b,5528,7.07,1.67,1861,1,Transit
HD3167c,5528,7.07,2.8,630,2,Transit
HD80606b,5561,7.32,11.74,432,2,Transit
HD89345b,5576,7.72,7.24,1114,2,Transit
HD97658b,5175,5.73,2.3,756,2,Transit
HIP41378e,6199,7.72,5.4,530,2,Transit
HIP41378f,6199,7.72,9.99,392,2,Transit
K2-100b,6168,9.18,3.51,1954,1,Transit
K2-107b,6061,11.21,15.65,1845,2,Eclipse
K2-113b,5660,11.95,11.88,1227,1,Transit
K2-115b,5657,11.72,11.81,692,1,Transit
K2-121b,4551,10.62,7.34,807,2,Transit
K2-129b,3459,8.85,1.02,457,1,Transit
K2-132b,4840,9.54,14.27,1578,1,Eclipse
K2-136 c,4499,8.37,2.85,558,1,Transit
K2-139b,5370,9.66,8.92,624,2,Transit
K2-140b,5705,11,11.99,1068,2,Transit
K2-141 c,4599,8.4,6.85,715,3,Transit
K2-155 c,4258,9.5,2.55,544,1,Transit
K2-18b,3457,8.9,2.33,307,1,Transit
K2-19b,5430,11.16,7.58,901,1,Transit
K2-198b,5262,9.23,4.03,698,1,Transit
K2-199 c,4648,9.62,2.72,731,1,Transit
K2-232b,6154,8.43,10.97,1015,2,Transit
K2-233d,4950,8.38,2.59,572,1,Transit
K2-237b,6257,10.22,18.11,1952,3,Eclipse
K2-238b,5630,12.03,14.27,1649,2,Eclipse
K2-24b,5625,9.18,5.29,767,1,Transit
K2-24 c,5625,9.18,7.34,645,2,Transit
K2-25b,3180,10.44,3.36,521,2,Transit
K2-260b,6367,11.09,17.03,2001,2,Eclipse
K2-261b,5537,8.89,9.33,1089,2,Transit
K2-266b,4285,8.9,3.23,1545,2,Transit
K2-266d,4285,8.9,2.86,584,1,Transit
K2-280b,5742,10.76,7.51,830,1,Transit
K2-287b,5695,9.19,9.29,836,2,Transit
K2-289b,5529,10.64,8.91,841,1,Transit
K2-29b,5358,10.06,13.06,1193,2,Eclipse
K2-3b,3896,8.56,2.13,552,1,Transit
K2-30b,5425,11.09,11.4,1114,2,Eclipse
K2-31b,5280,8.87,11.63,1547,3,Eclipse
K2-32b,5275,9.82,5.03,840,2,Transit
K2-33b,3540,10.03,4.94,801,1,Transit
K2-34b,6071,10.19,13.66,1740,2,Eclipse
K2-52b,7147,11.85,17.62,2242,2,Eclipse
K2-55b,4456,10.47,3.74,933,1,Transit
K2-99b,6217,9.72,11.48,1244,1,Transit
KELT-1b,6518,9.44,12.18,2482,3,Eclipse
KELT-10b,5948,9.34,15.35,1408,3,Eclipse
KELT-11b,5375,6.12,14.81,1741,3,Transit
KELT-12b,6279,9.36,19.53,1840,3,Eclipse
KELT-14b,5720,9.42,19.13,2005,3,Eclipse
KELT-15b,6003,9.85,19.09,1676,3,Eclipse
KELT-16b,6236,10.64,15.53,2509,3,Eclipse
KELT-18b,6670,9.21,17.23,2132,3,Eclipse
KELT-2Ab,6327,7.35,14.81,1799,3,Eclipse
KELT-3b,6304,8.66,17.12,1859,3,Eclipse
KELT-4Ab,6206,8.69,18.64,1863,3,Eclipse
KELT-6b,6102,9.08,14.27,1343,2,Eclipse
KELT-7b,6768,7.54,17.56,2088,3,Eclipse
KELT-8b,5754,9.18,17.78,1714,3,Eclipse
KOI-12b,6820,10.23,16.9,1101,2,Eclipse
KOI-94d,6182,10.93,11.03,915,1,Transit
KPS-1b,5165,10.93,11.3,1482,2,Eclipse
Kepler-12b,5947,12.07,19.25,1512,2,Transit
Kepler-138b,3841,9.51,0.52,490,1,Transit
Kepler-138d,3841,9.51,1.19,374,1,Transit
Kepler-1514b,6251,10.69,11.58,417,1,Transit
Kepler-16b,4450,9,8.27,234,2,Transit
Kepler-18d,5345,11.76,6.84,811,1,Transit
Kepler-396 c,5384,10.28,5.19,505,1,Transit
Kepler-422b,5972,12.04,12.62,1150,1,Transit
Kepler-444b,5046,6.7,0.4,1052,1,Transit
Kepler-444 c,5046,6.7,0.48,973,2,Transit
Kepler-444d,5046,6.7,0.52,878,1,Transit
Kepler-444e,5046,6.7,0.54,815,1,Transit
Kepler-447b,5493,10.81,18.11,1001,2,Eclipse
Kepler-5b,6297,11.77,15.65,1847,2,Eclipse
Kepler-6b,5647,11.63,14.31,1537,2,Eclipse
Kepler-7b,5933,11.54,17.8,1643,2,Eclipse
Kepler-76b,6409,12.09,14.92,2178,2,Eclipse
Kepler-854b,6179,12.05,16.37,1854,2,Eclipse
Kepler-91b,4550,10.14,15,2089,1,Eclipse
LHS1140b,3216,8.82,1.69,253,1,Transit
LHS1140c,3216,8.82,1.25,473,2,Transit
NGTS-2b,6478,9.8,17.5,1659,2,Eclipse
PH2b,5629,11.12,9.91,325,1,Transit
Qatar-1b,5013,10.41,12.54,1447,2,Eclipse
Qatar-2b,4645,10.62,13.76,1380,3,Eclipse
Qatar-3b,6007,11.22,12.03,1716,1,Eclipse
Qatar-4b,5215,11.52,12.45,1416,2,Eclipse
Qatar-5b,5747,10.96,12.15,1450,2,Eclipse
TRAPPIST-1b,2559,10.3,1.06,442,2,Transit
TRAPPIST-1 c,2559,10.3,1.03,377,2,Transit
TRAPPIST-1d,2559,10.3,0.76,318,2,Transit
TRAPPIST-1e,2559,10.3,0.9,277,2,Transit
TRAPPIST-1f,2559,10.3,1.02,242,2,Transit
TRAPPIST-1g,2559,10.3,1.11,219,2,Transit
TRAPPIST-1h,2559,10.3,0.74,191,2,Transit
TrES-1b,5230,9.82,12.4,1167,2,Eclipse
TrES-2b,5850,9.85,14.92,1533,2,Eclipse
TrES-3b,5650,10.61,14.66,1680,3,Eclipse
TrES-4b,6200,10.33,17.67,1821,2,Eclipse
TrES-5b,5171,11.59,13.1,1517,2,Eclipse
WASP-1b,6304,10.28,16.27,1910,2,Eclipse
WASP-10b,4675,9.98,11.85,993,3,Transit
WASP-100b,6900,9.67,14.59,2245,3,Eclipse
WASP-101b,6380,9.07,15.69,1588,3,Eclipse
WASP-103b,6110,10.77,16.77,2565,3,Eclipse
WASP-104b,5475,9.88,12.48,1547,3,Eclipse
WASP-106b,6055,10.16,11.19,1176,2,Eclipse
WASP-107b,4430,8.64,10.31,754,3,Transit
WASP-11b,4800,9.42,12.18,971,2,Eclipse
WASP-113b,5890,10.31,15.46,1519,2,Eclipse
WASP-114b,5940,13.17,14.69,2074,2,Eclipse
WASP-117b,6040,8.78,11.63,1045,2,Transit
WASP-118b,6410,9.79,15.8,1765,2,Eclipse
WASP-119b,5650,10.54,15.36,1602,2,Eclipse
WASP-12b,6300,10.19,19.97,2638,3,Eclipse
WASP-120b,6450,9.88,16.16,1918,2,Eclipse
WASP-121b,6459,9.37,20.47,2413,3,Eclipse
WASP-123b,5740,10.71,14.46,1550,3,Eclipse
WASP-124b,6050,11.31,13.61,1420,2,Eclipse
WASP-126b,5800,9.6,10.53,1520,2,Eclipse
WASP-127b,5620,8.64,15.03,1431,3,Transit
WASP-129b,5900,10.41,10.21,1101,2,Eclipse
WASP-13b,5950,9.12,13.39,1588,3,Transit
WASP-130b,5625,9.46,9.77,854,1,Eclipse
WASP-131b,6030,8.57,13.39,1491,2,Transit
WASP-132b,4775,9.67,9.55,781,2,Transit
WASP-133b,5700,11.18,13.28,1815,2,Eclipse
WASP-135b,5675,11.04,14.27,1757,2,Eclipse
WASP-136b,6260,8.8,15.14,1786,3,Eclipse
WASP-138b,6272,10.49,11.96,1622,2,Eclipse
WASP-139b,5310,10.47,8.78,938,2,Transit
WASP-14b,6475,8.62,15.14,1903,3,Eclipse
WASP-140b,5260,9.16,15.8,1346,3,Eclipse
WASP-141b,5900,11.19,13.28,1573,2,Eclipse
WASP-142b,6010,11.44,16.79,2035,2,Eclipse
WASP-144b,5200,10.9,9.33,1298,1,Eclipse
WASP-145Ab,4900,9.19,9.88,1233,2,Eclipse
WASP-147b,5702,10.86,12.24,1435,2,Transit
WASP-15b,6300,9.69,15.47,1691,2,Eclipse
WASP-151b,5871,11.19,12.4,1318,2,Transit
WASP-153b,5914,11.05,17.01,1748,2,Eclipse
WASP-156b,4910,9.34,5.6,992,1,Transit
WASP-157b,5772,10.76,10.95,1336,2,Transit
WASP-158b,6350,10.88,11.74,1623,2,Eclipse
WASP-159b,6120,11.02,15.14,1889,2,Eclipse
WASP-16b,5700,9.59,13.39,1334,2,Eclipse
WASP-160Bb,5298,11.06,11.96,1145,2,Transit
WASP-162b,5300,10.47,10.97,933,2,Transit
WASP-164b,5806,10.96,12.38,1643,2,Eclipse
WASP-165b,5599,11.02,13.83,1662,2,Eclipse
WASP-167b,7000,9.76,17.34,2416,3,Eclipse
WASP-168b,6000,10.44,16.46,1374,2,Transit
WASP-17b,6550,10.22,20.52,1583,2,Eclipse
WASP-172b,6900,10.13,17.23,1784,2,Eclipse
WASP-173Ab,5800,10,13.17,1916,3,Eclipse
WASP-174b,6400,10.58,14.27,1528,2,Eclipse
WASP-18b,6431,8.13,13.17,2466,3,Transit
WASP-19b,5568,10.48,15.27,2161,3,Eclipse
WASP-2b,5200,9.63,11.75,1326,2,Eclipse
WASP-20b,5940,9.39,16.04,1410,3,Transit
WASP-21b,5800,9.98,11.74,1366,2,Eclipse
WASP-22b,6000,10.32,13.5,1452,2,Eclipse
WASP-23b,5150,10.45,10.56,1158,2,Eclipse
WASP-24b,6075,10.15,15.14,1810,2,Eclipse
WASP-25b,5750,10.17,11.74,1246,2,Eclipse
WASP-26b,6034,9.69,13.28,1718,2,Eclipse
WASP-28b,6150,10.73,13.31,1499,2,Eclipse
WASP-29b,4800,8.78,8.45,996,2,Transit
WASP-3b,6140,9.36,15.58,1717,3,Eclipse
WASP-31b,6302,10.65,17,1610,2,Eclipse
WASP-32b,6140,10.16,10.53,1596,2,Eclipse
WASP-34b,5700,8.79,10.97,1185,2,Eclipse
WASP-35b,5990,9.52,14.27,1483,3,Eclipse
WASP-36b,5959,11.29,14.56,1778,2,Eclipse
WASP-37b,5800,11.09,12.73,1353,2,Eclipse
WASP-38b,6180,8,13.5,1285,3,Transit
WASP-39b,5400,10.2,13.94,1146,2,Transit
WASP-4b,5500,10.75,14.59,1708,3,Eclipse
WASP-41b,5545,9.68,12.07,1271,2,Eclipse
WASP-42b,5315,10.03,12.31,1044,2,Eclipse
WASP-43b,4400,9.27,10.21,1409,3,Eclipse
WASP-44b,5410,11.34,12.51,1381,2,Eclipse
WASP-45b,5140,10.29,12.51,1224,2,Eclipse
WASP-46b,5600,11.4,12.88,1676,2,Eclipse
WASP-47b,5552,10.19,12.37,1291,2,Eclipse
WASP-48b,5920,10.37,16.46,2078,2,Eclipse
WASP-49b,5600,9.75,12.18,1401,2,Eclipse
WASP-5b,5700,10.6,11.93,1745,2,Eclipse
WASP-50b,5400,9.97,13.39,1422,2,Eclipse
WASP-52b,5000,10.09,13.94,1330,3,Eclipse
WASP-53b,4953,10.39,11.79,1079,2,Eclipse
WASP-54b,6100,9.04,17.34,1822,3,Eclipse
WASP-55b,5900,10.4,14.59,1296,2,Eclipse
WASP-56b,5600,10.53,10.31,1230,2,Eclipse
WASP-57b,5600,11.24,11.52,1371,2,Eclipse
WASP-58b,5800,10.28,15.69,1306,2,Eclipse
WASP-6b,5450,10.32,11.3,1210,2,Eclipse
WASP-60b,5900,10.58,9.66,1343,1,Eclipse
WASP-61b,6250,11.01,15.47,1583,2,Eclipse
WASP-62b,6230,8.94,14.48,1459,3,Eclipse
WASP-63b,5550,9.39,15.47,1565,2,Eclipse
WASP-64b,5400,10.96,13.95,1685,2,Eclipse
WASP-65b,5600,10.35,12.2,1518,2,Eclipse
WASP-66b,6600,10.45,15.36,1841,2,Eclipse
WASP-67b,5200,10.13,12.62,1049,2,Eclipse
WASP-68b,5910,8.95,14.48,1516,2,Eclipse
WASP-69b,4700,7.46,12.18,982,3,Transit
WASP-7b,6400,8.4,14.59,1518,3,Eclipse
WASP-70Ab,5763,9.58,12.77,1424,2,Eclipse
WASP-71b,6050,9.32,12.95,2111,2,Eclipse
WASP-72b,6250,9.62,14.16,2104,2,Eclipse
WASP-73b,6030,9.03,15.58,1820,2,Eclipse
WASP-74b,5990,8.22,14.92,1959,3,Eclipse
WASP-75b,6100,10.06,13.94,1743,2,Eclipse
WASP-76b,6250,8.24,20.08,2232,3,Transit
WASP-77Ab,5365,8.4,15.14,1667,3,Eclipse
WASP-78b,6100,11.01,21.18,2345,3,Eclipse
WASP-79b,6600,9.06,18.33,1798,3,Eclipse
WASP-8b,5600,8.09,12.4,948,3,Transit
WASP-80b,4143,8.35,10.96,845,2,Eclipse
WASP-81b,5870,10.89,15.68,1656,2,Eclipse
WASP-82b,6480,8.76,17.78,2225,3,Eclipse
WASP-83b,5510,10.39,11.41,1146,2,Transit
WASP-84b,5314,8.86,10.34,817,2,Eclipse
WASP-85Ab,6112,8.73,13.61,1487,3,Eclipse
WASP-88b,6430,10.32,16.02,1802,2,Eclipse
WASP-89b,5130,11,11.41,1149,2,Transit
WASP-90b,6430,10.25,17.89,1881,2,Eclipse
WASP-92b,6280,11.52,16.03,1921,2,Eclipse
WASP-93b,6700,9.94,17.52,1986,3,Eclipse
WASP-94Ab,6170,8.87,17.34,1536,3,Eclipse
WASP-95b,5830,8.56,13.5,1649,3,Eclipse
WASP-96b,5540,10.91,13.17,1314,2,Eclipse
WASP-97b,5640,9.03,12.51,1576,3,Eclipse
WASP-98b,5473,11.28,12.55,1197,2,Eclipse
WASP-99b,6150,8.09,11.19,1501,2,Transit
Wolf503b,4716,7.62,1.99,808,1,Transit
XO-1b,5750,9.53,12.51,1229,2,Eclipse
XO-2Nb,5762,9.31,10.9,1474,2,Eclipse
XO-3b,6429,8.79,15.47,2091,3,Eclipse
XO-4b,6397,9.41,13.72,1666,2,Eclipse
XO-5b,5430,10.34,12.51,1254,2,Eclipse
XO-6b,6720,9.25,22.71,1983,3,Eclipse
