,Unnamed: 0,Star Name,Planet Name,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Cumulative time (days),Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Telescope,ESM,pl_g,ASM,Tier 2 Emission
0,0,HAT-P-32 b,HAT-P-32 b,1.0,1.0,1.657981718,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.13,-0.05,0.05,6001.0,-88.0,88.0,1.37,-0.03,0.03,289.205,-5.167,5.355,4.22,-0.04,0.04,Gaia DR2 356348286886230272,10.024,10.251,9.99,11.439,11.1335,9.902,0,-0.16,-0.08,0.08,[Fe/H],2.7,-0.8,0.8,,31.0427614,46.6878512,22.19378185,0.504404133,-0.504404133,1.98,0.045,-0.045,216.1233165,34.96112473,-31.78284066,0.68,0.11,-0.1,0,1,99.0,2.1500082,2.1500082,-1.3e-07,1.3e-07,1777.378359,5080239714.0,0.033981537,0.3,2.3,12802.4963,0.083,1,88.98,-0.85,0.68,0.159,-0.028,0.051,0,50.0,-18.0,27.0,5867.402743,4.9e-05,-4.9e-05,0,5868.477747,16353.75933,2.216,0.017,-0.016,1,2011,Ariel,214.62472669012644,4.473785336494847,12.626748701800599,1
1,1,HAT-P-70 b,HAT-P-70 b,5.916417541,86.25254725,169.0209027,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.89,-0.01,0.01,8450.0,-690.0,540.0,1.86,-0.09,0.12,330.739,-6.552,6.818,4.18,-0.06,0.06,Gaia DR2 3291455819447952768,9.023,9.068,8.963,9.47,9.45174,8.941,0,-0.059,-0.088,0.075,[Fe/H],0.6,-0.2,0.38,,74.5523332,9.9979794,20.96079397,1.68134711,-1.120898073,1.87,0.15,-0.1,2154.876597,0.0,0.0,6.78,0.0,0.0,1,0,0.0,2.74432452,4.89433272,-6.8e-07,7.9e-07,2467.441219,7095922962.0,0.047464368,0.3,2.3,12528.47884,-0.629,1,96.5,-0.91,1.42,0.0,,,0,,,,8439.57519,0.00045,-0.00037,0,8440.947352,0.0,0.8443,,,1,2019,Ariel,183.05402294912443,50.0084150436849,8.967247576968767,1
2,2,HD 189733 b,HD 189733 b,1.0,1.0,1.213407685,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,0.79,-0.08,0.08,5052.0,-16.0,16.0,0.75,-0.01,0.01,19.7638,-0.0127,0.0128,4.49,-0.05,0.05,Gaia DR2 1827242816201846144,5.587,6.073,5.541,7.67,7.41432,5.289,0,-0.02,,,[Fe/H],1.4,-1.9,4.9,K2 V,300.1821223,22.7097759,12.66614823,0.112089807,-0.112089807,1.13,0.01,-0.01,370.5879221,16.52707714,-15.57359192,1.166,0.052,-0.049,0,1,208.0,2.21857567,7.11290839,-1.5e-07,1.5e-07,1162.930605,4604224671.0,0.030797489,0.3,2.3,6544.78771,0.6636,1,85.71,0.0,0.0,0.0,,,0,20.0,-50.0,37.0,3955.525551,9e-06,-9e-06,0,3956.634839,0.0,2.4,0.0058,-0.0058,1,2005,Ariel,1063.0232002215917,23.55256836030353,61.44583679593408,1
3,3,HD 202772 A b,HD 202772 A b,1.0,3.928940044,7.517633582,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.72,-0.07,0.06,6272.0,-71.0,77.0,2.59,-0.09,0.08,161.498,-2.388,2.459,3.85,-0.03,0.03,Gaia DR2 6790773586275235200,7.048,7.232,6.959,8.324,8.22688,6.882,0,0.3,-0.06,0.06,[Fe/H],1.7,-0.26,0.32,,319.6995877,-26.6163743,17.31787523,0.582866998,-0.672538844,1.545,0.052,-0.06,323.2314895,22.24798846,-21.61233165,1.017,0.07,-0.068,0,1,96.4,3.308958,10.42186639,-8.3e-05,8.3e-05,2062.654694,7789955294.0,0.052106724,0.3,2.3,20841.44518,0.403,1,84.51,-0.82,1.1,0.038,-0.027,0.042,0,98.0,-52.0,65.0,8338.61047,0.00024,-0.00024,0,8340.264949,22471.31233,0.3755,0.01,-0.0099,2,2019,Ariel,175.99058042329696,10.989061272897965,9.24353027917098,1
4,4,HD 209458 b,HD 209458 b,1.0,1.0,1.0,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.23,-0.09,0.09,6091.0,-10.0,10.0,1.19,-0.02,0.02,48.3016,-0.1234,0.124,4.45,-0.02,0.02,Gaia DR2 1779546757669063552,6.366,6.591,6.308,7.65,7.50866,6.308,0,0.01,,,[Fe/H],3.1,-0.7,0.8,G0 V,330.7950219,18.8842419,15.58048322,0.224179615,-0.224179615,1.39,0.02,-0.02,216.7589733,4.449597692,-4.767426099,0.682,0.014,-0.015,0,1,84.27,3.52474859,13.94661498,-3.8e-07,3.8e-07,1405.91027,7265828019.0,0.048600856,0.3,2.3,11050.66673,0.507,1,86.71,-0.05,0.05,0.0,,,0,0.0,0.0,0.0,1659.93742,2e-05,-2e-05,0,1661.699794,0.0,1.5,0.0024,-0.0024,1,1999,Ariel,509.5210349991608,9.10440112300741,27.75595360045761,1
5,5,HIP 65 A b,HIP 65 A b,1.0,1.0,1.7553946,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,0.78,-0.03,0.03,4590.0,-49.0,49.0,0.72,-0.01,0.01,61.7856,-0.0804,0.0806,4.61,-0.01,0.01,Gaia DR2 4923860051276772608,8.4,8.922,8.29,11.0,10.5895,8.121,0,0.18,-0.08,0.08,[Fe/H],4.1,-2.8,4.3,K4 V,0.1856063,-54.8308228,22.75423088,6.837478246,-5.492400558,2.03,0.61,-0.49,1021.18267,24.79061571,-24.79061571,3.213,0.078,-0.078,0,1,753.7,0.9809734,14.92758838,-3.1e-06,3.1e-06,1361.757722,2660935422.0,0.017798899,0.3,2.3,6086.249957,0.5,1,84.60071945,-1.0,0.92,0.0,,,0,291.42,,,8326.10418,0.00011,-0.00011,0,8326.594667,0.0,8.2,5.8,-3.4,2,2020,Ariel,1579.0378993656027,20.110147651445928,96.35935476565137,1
6,6,MASCARA-1 b,MASCARA-1 b,3.29491431,29.60186667,57.7178329,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.72,-0.07,0.07,7554.0,-150.0,150.0,2.1,-0.2,0.2,182.273,-1.922,1.963,4.0,,,Gaia DR2 1744911763437512064,7.749,7.819,7.74,8.28,8.24243,7.658,0,0.0,,,[Fe/H],1.0,-0.2,0.2,A8,317.5515264,10.7388967,16.8134711,3.362694219,-3.362694219,1.5,0.3,-0.3,1175.965104,286.0455659,-286.0455659,3.7,0.9,-0.9,0,1,0.0,2.14878,17.07636838,-8e-06,8e-06,2583.193818,5841648628.0,0.039074573,0.3,2.3,15767.8035,0.2,1,87.0,-3.0,2.0,0.0,,,0,,,,7097.278,0.002,-0.002,0,7098.35239,0.0,,,,1,2017,Ariel,196.16314209532223,42.41464295609102,11.762077547968811,1
7,7,MASCARA-4 b,MASCARA-4 b,1.815875919,16.68995543,32.57849245,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.75,-0.05,0.05,7800.0,-200.0,200.0,1.92,-0.11,0.11,170.696,-0.928,0.938,4.1,-0.05,0.05,Gaia DR2 5245968236116294016,7.785,7.837,7.75,8.191,8.17401,7.627,0,0.0,,,[Fe/H],0.8,,,A7 V,147.5800667,-66.1139253,17.14974052,0.784628651,-0.448359229,1.53,0.07,-0.04,985.2680604,286.0455659,-286.0455659,3.1,0.9,-0.9,0,1,0.0,2.82406,19.90042838,-3e-05,3e-05,2321.685164,7049526418.0,0.047154023,0.3,2.3,15206.56976,0.34,1,88.5,-0.01,0.01,0.0,,,0,,,,8505.817,0.003,-0.003,0,8507.22903,0.0,,,,1,2020,Ariel,201.87680935190616,34.15666353997999,11.07473553896832,1
8,8,TOI-1431 b,TOI-1431 b,2.610499483,26.63203444,52.29960489,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.9,-0.08,0.1,7690.0,-250.0,400.0,1.92,-0.07,0.07,148.925,-1.02,1.034,4.15,-0.04,0.04,Gaia DR2 2188906825165621120,7.452,7.541,7.439,8.03,7.97561,7.335,0,0.09,-0.03,0.03,[Fe/H],0.29,-0.19,0.32,Am C,316.2036922,55.5880221,16.70138129,0.560449037,-0.560449037,1.49,0.05,-0.05,991.6246286,57.20911319,-57.20911319,3.12,0.18,-0.18,0,1,294.1,2.650237,22.55066538,-3e-06,3e-06,2306.103917,6945001151.0,0.046454857,0.3,2.3,8768.184461,0.881,1,80.13,-0.13,0.13,0.0022,-0.0016,0.003,0,108.0,-31.0,92.0,8739.17737,7e-05,-7e-05,0,8740.502489,8804.953165,0.5797,0.0007,-0.0007,2,2021,Ariel,222.3696448358407,36.24755076186719,12.095085556504504,1
9,9,TOI-1518 b,TOI-1518 b,1.0,8.501980082,16.87927251,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.79,-0.26,0.26,7300.0,-100.0,100.0,1.95,-0.05,0.05,225.888,-1.666,1.69,4.1,-0.2,0.2,Gaia DR2 2210596444367488384,8.384,8.429,8.325,8.952,8.89529,8.270001,0,-0.1,-0.12,0.12,[Fe/H],,,,F0,352.2675207,67.0348062,21.01683887,0.594075979,-0.594075979,1.875,0.053,-0.053,731.0053352,0.0,0.0,2.3,0.0,0.0,1,0,0.0,1.902603,24.45326838,-1.1e-05,1.1e-05,2488.500269,5458597956.0,0.036512361,0.3,2.3,8159.357671,0.9036,1,77.84,-0.26,0.23,0.0,,,1,,,,8787.049255,9.4e-05,-9.4e-05,0,8788.000556,0.0,0.911,0.000414,-0.000414,1,2021,Ariel,268.0552138121467,16.87414984631513,15.497101903447096,1
10,10,WASP-121 b,WASP-121 b,1.0,2.809530879,5.50232336,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.36,-0.08,0.07,6776.0,-128.73,138.39,1.46,-0.03,0.03,269.898,-1.562,1.58,4.24,-0.01,0.01,Gaia DR2 5565050255701441664,9.439,9.625,9.374,10.514,10.3746,9.356,0,0.13,-0.09,0.09,[Fe/H],1.5,-1.0,1.0,F6 V,107.6002312,-39.0972705,19.64934322,0.403523306,-0.403523306,1.753,0.036,-0.036,367.7274664,22.24798846,-22.24798846,1.157,0.07,-0.07,0,1,177.0,1.27492504,25.72819342,-1.4e-07,1.5e-07,2391.043885,3814175890.0,0.025512882,0.3,2.3,10604.8743,0.1,1,88.49,-0.16,0.16,0.0,,,0,10.0,-10.0,10.0,8119.72074,0.00017,-0.00017,0,8120.358203,0.0,1.551,0.012,-0.012,1,2016,Ariel,265.4744800042335,9.711048794427414,15.452984030909567,1
11,11,WASP-18 b,WASP-18 b,28.32723102,382.5540411,746.2336336,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.29,-0.06,0.06,6432.0,-48.0,48.0,1.32,-0.06,0.06,123.483,-0.369,0.371,4.31,-0.03,0.04,Gaia DR2 4955371367334610048,8.231,8.409,8.131,9.28,9.16617,8.075,0,0.107,-0.08,0.08,[Fe/H],1.57,-0.94,1.4,F6 IV-V,24.3544618,-45.6777937,13.89913611,0.885509478,-0.885509478,1.24,0.079,-0.079,3241.849747,111.2399423,-111.2399423,10.2,0.35,-0.35,0,1,1814.0,0.94145223,26.66964565,-2.4e-07,2.4e-07,2408.746207,3061681962.0,0.020479478,0.3,2.3,8176.001493,0.36,1,83.5,-1.6,2.0,0.0051,-0.0037,0.007,0,-85.0,-96.0,72.0,6740.8056,0.00019,-0.00019,0,6741.276326,0.0,1.041,0.022,-0.022,1,2009,Ariel,309.0634096163275,171.10134007408683,20.481126218848072,1
12,12,WASP-189 b,WASP-189 b,1.0,2.315344921,4.206662087,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,2.03,-0.07,0.07,8000.0,-80.0,80.0,2.36,-0.03,0.03,99.731,-0.7432,0.754,3.9,-0.2,0.2,Gaia DR2 6339097679918871168,6.12,6.166,6.06,6.59776,6.55369,6.097,0,0.29,-0.13,0.13,[Fe/H],0.73,-0.13,0.13,,225.686732,-3.0314874,18.1473398,0.235388595,-0.235388595,1.619,0.021,-0.021,632.4785291,50.85254506,-44.49597692,1.99,0.16,-0.14,0,1,182.0,2.724033,29.39367865,,,2606.643375,7231108901.0,0.048368621,0.3,2.3,16418.59337,0.478,1,84.03,-0.14,0.14,0.0,,,0,,,,8926.541696,6.5e-05,-6.4e-05,0,8927.903712,0.0,,,,1,2020,Ariel,372.23529229837436,19.581952304867087,20.985557570229595,1
13,13,WASP-33 b,WASP-33 b,1.0,2.223157227,4.373788659,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.5,-0.03,0.03,7430.0,-100.0,100.0,1.44,-0.03,0.03,121.944,-0.983,0.998,4.25,-0.07,0.1,Gaia DR2 328636019723252096,7.516,7.581,7.468,8.14,8.07004,7.383,0,0.1,,,[M/H],,,,A5,36.7127375,37.5504441,17.8559063,0.829464574,-0.829464574,1.593,0.074,-0.074,665.214855,44.17814852,-44.17814852,2.093,0.139,-0.139,0,1,304.0,1.21987,30.61354865,-1e-06,1e-06,2599.597377,3826520992.0,0.025595458,0.3,2.3,9739.03043,0.21,1,86.63,-0.03,0.03,0.0,,,0,,,,4163.22367,0.00022,-0.00022,0,4163.833605,0.0,1.1,0.019,-0.019,1,2010,Ariel,548.1600364601858,21.273271669423547,29.99360948315676,1
14,14,WASP-76 b,WASP-76 b,1.0,1.061796208,2.069376856,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.46,-0.07,0.07,6250.0,-100.0,100.0,1.73,-0.04,0.04,194.459,-5.839,6.206,4.13,-0.02,0.02,Gaia DR2 2512326349403275520,8.331,8.541,8.243,9.518,9.39507,8.19,0,0.23,-0.1,0.1,[Fe/H],5.3,-2.9,6.1,F7,26.632936,2.700389,20.51243474,0.672538844,-0.448359229,1.83,0.06,-0.04,292.4021341,9.534852198,-9.534852198,0.92,0.03,-0.03,0,1,119.3,1.809886,32.42343465,-1e-06,1e-06,2110.974286,4933060164.0,0.032997058,0.3,2.3,13517.1962,0.14,1,88.0,-1.6,1.3,0.0,,,0,,,,6107.85507,0.00034,-0.00034,0,6108.760013,0.0,1.189,0.016,-0.016,1,2016,Ariel,318.31550067966816,7.085691785774628,16.985514467435195,1
15,15,WASP-77 A b,WASP-77 A b,1.0,9.744476487,19.07806911,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,0.9,-0.06,0.07,5617.0,-72.0,72.0,0.91,-0.02,0.03,105.166,-1.182,1.209,4.48,-0.02,0.01,Gaia DR2 5178405479960844160,8.374,8.766,8.405,10.294,10.0966,8.106,0,-0.1,-0.11,0.1,[Fe/H],6.2,-3.5,4.0,G8 V,37.1555223,-7.0606675,13.7870463,0.347478403,-0.325060441,1.23,0.031,-0.029,529.8199538,21.61233165,-20.34101802,1.667,0.068,-0.064,0,1,323.4,1.36002854,33.78346319,-6.2e-07,6.2e-07,1640.556222,3470117371.0,0.023211487,0.3,2.3,7789.277258,0.109,1,88.91,-0.95,0.74,0.0074,-0.0049,0.0069,0,-166.0,-75.0,66.0,7420.88439,0.0008,-0.00085,0,7421.564404,0.0,1.783,0.02,-0.019,1,2012,Ariel,370.414980645194,28.419863420986434,18.6990023978288,1
16,16,XO-3 b,XO-3 b,49.756175,677.3259406,1321.14917,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,0.58,-0.14,0.14,6429.0,-50.0,50.0,1.54,-0.11,0.11,213.053,-2.658,2.724,3.95,-0.06,0.06,Gaia DR2 470650560777348352,8.845,9.013,8.791,9.854,9.73889,8.754,0,-0.18,,,[Fe/H],2.82,-0.82,0.58,F5V,65.4695814,57.8172095,15.80466283,1.345077688,-1.345077688,1.41,0.12,-0.12,3718.592357,133.4879308,-136.6662148,11.7,0.42,-0.43,0,1,1468.9,3.19154,36.97500319,-0.00014,0.00014,1977.826146,5293068392.0,0.03540514,0.3,2.3,17396.77006,0.5,1,84.19300096,-1.36,1.36,0.29,0.0,0.0,0,349.35,-0.68,0.67,5024.34346,0.00013,-0.00013,0,5025.93923,15626.87991,0.89,0.078,-0.078,1,2007,Ariel,162.75777484855323,151.79037921838943,8.748919759908484,1
17,17,XO-6 b,XO-6 b,1.632703243,21.25784366,41.37596641,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.47,-0.06,0.06,6720.0,-100.0,100.0,1.93,-0.18,0.18,235.479,-2.393,2.443,4.04,-0.1,0.1,Gaia DR2 1114308481600798336,9.266,9.471,9.246,10.247,10.191,9.213,0,-0.07,-0.1,0.1,[Fe/H],1.88,-0.2,0.9,F5,94.7929552,73.8275672,23.20259011,2.465975761,-2.465975761,2.07,0.22,-0.22,1398.444989,0.0,0.0,4.4,0.0,0.0,1,1,0.0,3.7650007,40.74000389,-8.1e-06,8.1e-06,1875.839925,8057131756.0,0.053893858,0.3,2.3,15793.31496,0.633,1,86.0,-0.2,0.2,0.0,,,0,,,,6652.71245,0.00055,-0.00055,0,6654.59495,0.0,,,,1,2016,Ariel,158.79294726658483,26.48552555487442,11.681596080113692,1
18,18,KELT-11 b,KELT-11 b,1.0,1.0,1.0,1.0,1.0,1.0,Transit,1,1,1,0,0,0,1.44,-0.07,0.07,5375.0,-25.0,25.0,2.69,-0.04,0.04,99.1596,-0.52105,0.52105,3.7,-0.1,0.1,Gaia DR2 3761497761876022400,6.251,6.616,6.122,8.04,7.83112,6.152,0,0.17,-0.07,0.07,[Fe/H],,,,G8/K0 IV,161.7069053,-9.3993646,15.13212399,1.120898073,-1.120898073,1.35,0.1,-0.1,54.34865753,4.767426099,-4.767426099,0.171,0.015,-0.015,0,1,0.0,4.7361,45.47610389,-3e-05,3e-05,1646.55533,9324653866.0,0.062372267,0.3,2.3,25534.76868,0.404,1,85.3,-0.2,0.2,0.0007,-0.0005,0.002,0,-1.0,-74.6,147.4,7483.431,0.0007,-0.0007,0,7485.79905,0.0,0.265,0.035,-0.038,1,2017,Ariel,154.8677036057113,2.420054703200389,8.565491927502052,1
19,19,KELT-20 b,KELT-20 b,1.0,4.575606261,8.934502053,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.76,-0.19,0.14,8720.0,-260.0,250.0,1.56,-0.06,0.06,136.426,-0.807,0.816,4.29,-0.02,0.02,Gaia DR2 2033123654092592384,7.446,7.424,7.415,7.59,7.57492,7.363,0,-0.29,-0.36,0.22,[Fe/H],0.6,,,A2 V,294.6614126,31.2192001,19.51483545,0.77341967,-0.829464574,1.741,0.069,-0.074,1074.895671,0.0,0.0,3.382,0.0,0.0,1,1,0.0,3.4741085,48.95021239,-1.9e-06,1.9e-06,2181.396627,8108946858.0,0.054240447,0.3,2.3,12753.34816,0.503,1,86.12,-0.27,0.28,0.0,,,0,,,,7503.120049,0.00019,-0.00019,0,7504.857103,0.0,1.309,0.014,-0.014,1,2017,Ariel,372.7831557934422,28.778799305217515,17.314433004724773,1
20,20,KELT-9 b,KELT-9 b,1.0,1.793284766,3.47511354,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,2.52,-0.2,0.25,10170.0,-450.0,450.0,2.36,-0.06,0.07,204.455,-1.558,1.582,4.09,-0.01,0.01,Gaia DR2 2064327278651198336,7.492,7.458,7.482,7.55,7.57675,7.399,0,-0.03,-0.2,0.2,[Fe/H],0.3,,,B9.5-A0,307.8598998,39.9389161,21.19618256,0.683747825,-0.594075979,1.891,0.061,-0.053,775.5013121,222.4798846,-222.4798846,2.44,0.7,-0.7,0,1,0.0,1.4811235,50.43133589,-1.1e-06,1.1e-06,3916.236076,5177168998.0,0.034629893,0.3,2.3,14066.71499,0.177,1,86.79,-0.25,0.25,0.0,,,0,90.0,,,7095.68572,0.00014,-0.00014,0,7096.426282,0.0,0.677,0.0072,-0.0072,1,2017,Ariel,343.14587053546205,17.599623537032397,23.31423631385543,1
21,21,KELT-7 b,KELT-7 b,1.0,3.302742034,6.449688055,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.76,-0.25,0.25,6768.0,-7.0,7.0,1.81,-0.07,0.07,136.681,-0.924,0.938,4.5,,,Gaia DR2 181908842994567936,7.58,7.739,7.543,8.56,8.45173,7.496,0,0.0,,,[Fe/H],1.3,-0.2,0.2,F,78.2955912,33.3179532,17.93436917,0.672538844,-0.672538844,1.6,0.06,-0.06,441.7814852,69.92224945,-69.92224945,1.39,0.22,-0.22,0,1,138.0,2.73477,53.16610589,-4e-06,4e-06,1975.133011,6913257612.0,0.046242526,0.3,2.3,12560.84499,0.597,1,83.76,-0.38,0.38,0.0,,,0,,,,8343.40408,0.0001,-0.0001,0,8344.771465,0.0,0.83,0.012,-0.012,1,2015,Ariel,253.52043247227445,14.004623716762529,14.004237102376598,1
22,22,KELT-23 A b,KELT-23 A b,1.0,3.489495583,6.833156343,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,0.94,-0.05,0.06,5899.0,-49.0,49.0,1.0,-0.01,0.01,126.261,-0.351,0.352,4.42,-0.03,0.03,Gaia DR2 1644692064543192704,8.951,9.208,8.904,10.308,10.182,8.754,0,-0.105,-0.077,0.078,[Fe/H],6.4,-3.2,3.5,G2 V,232.1466406,66.3587097,14.82948151,0.280224518,-0.280224518,1.323,0.025,-0.025,298.1230454,15.25576352,-13.98444989,0.938,0.048,-0.044,0,1,150.6,2.255251,55.42135689,-1.2e-05,1.1e-05,1514.89041,4932538916.0,0.032993571,0.3,2.3,8589.016708,0.576,1,85.37,-0.3,0.31,0.0,,,0,,,,8140.3792,0.0027,-0.0029,0,8141.506825,0.0,1.864,0.028,-0.028,1,2019,Ariel,233.35053737510108,13.822282331204375,13.438247300510842,1
23,23,WASP-74 b,WASP-74 b,1.0,4.403309419,8.60795269,1.0,1.0,1.005684288,Eclipse,1,1,1,0,0,0,0.98,-0.24,0.24,5990.0,-110.0,110.0,1.42,-0.1,0.1,149.216,-1.132,1.149,4.39,-0.07,0.07,Gaia DR2 4224062406762625152,8.286,8.548,8.221,9.75,9.5723,8.14,0,0.39,,,[Fe/H],3.7,-0.9,0.9,F9,304.538843,-1.0760033,15.24421379,1.120898073,-1.120898073,1.36,0.1,-0.1,262.5262638,6.674396538,-6.674396538,0.826,0.021,-0.021,0,1,0.0,2.13775,57.55910689,-1e-06,1e-06,1853.119534,4826266304.0,0.032282718,0.3,2.3,8246.422994,0.86,1,79.81,-0.24,0.24,0.0,,,0,,,,7205.93774,0.0001,-0.0001,0,7207.006615,0.0,0.96,0.014,-0.014,1,2015,Ariel,227.636581903076,11.518577272207162,12.102400662545485,1
