,Unnamed: 0,Star Name,Planet Name,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Cumulative time (days),Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Telescope,ESM,pl_g,ASM,Tier 2 Emission
24,24,KELT-4 A b,KELT-4 A b,1.0,2.71432317,5.307241214,1.0,1.0,1.015967247,Eclipse,1,1,1,0,0,0,1.2,-0.06,0.07,6206.0,-75.0,75.0,1.6,-0.04,0.04,218.05,-2.067,2.106,4.11,-0.01,0.01,Gaia DR2 727624020367528576,8.79,9.017,8.689,9.98,9.95702,8.604,0,-0.116,-0.069,0.065,[Fe/H],4.44,-0.89,0.78,F,157.06262,25.5731366,19.04405826,0.515613114,-0.504404133,1.699,0.046,-0.045,286.6812227,19.0697044,-18.75187599,0.902,0.06,-0.059,0,1,111.8,2.9895932,60.54870009,-4.9e-06,4.9e-06,1761.948781,6457034792.0,0.043190868,0.3,2.3,12360.62887,0.689,1,83.16,-0.21,0.22,0.0,,,0,,,,6190.30201,0.00022,-0.00022,0,6191.796807,0.0,1.187,0.012,-0.012,1,2016,Ariel,200.06742356534897,8.059653839330993,9.990636537186253,1
25,25,KELT-8 b,KELT-8 b,1.0,2.77988474,5.437006312,1.0,1.0,1.023996312,Eclipse,1,1,1,0,0,0,0.81,-0.21,0.21,5754.0,-54.0,54.0,1.46,-0.08,0.08,197.572,-0.995,1.005,4.08,-0.05,0.05,Gaia DR2 4534144923690481408,9.269,9.586,9.177,10.845,10.6699,8.981,0,0.27,,,[Fe/H],5.4,-0.5,0.4,G2 V,283.3054489,24.1272483,18.15854878,1.120898073,-1.120898073,1.62,0.1,-0.1,272.6967729,16.84490555,-16.20924874,0.858,0.053,-0.051,0,1,104.2,3.24406,63.79276009,-0.00016,0.00016,1621.405269,5981162083.0,0.040007773,0.3,2.3,12640.16236,0.741,1,82.65,-0.9,0.9,0.04,-0.05,0.05,0,85.0,-97.0,87.0,7396.04496,0.00055,-0.00055,0,7397.66699,13689.33457,1.3,0.06,-0.06,1,2015,Ariel,166.81907401107503,8.432451816707005,10.245236647591359,1
26,26,KELT-19 A b,KELT-19 A b,2.525827613,35.16997861,69.23705551,1.0,1.0,1.103392773,Eclipse,1,1,1,0,0,0,1.62,-0.2,0.25,7500.0,-110.0,110.0,1.83,-0.1,0.1,300.276,-4.544,4.684,4.13,-0.03,0.03,Gaia DR2 3142847477107193344,9.237001,9.343,9.196,9.857,9.86331,9.138,0,-0.12,-0.51,0.51,[Fe/H],,,,A8 V,111.5095293,7.6157759,21.4091532,1.23298788,-1.23298788,1.91,0.11,-0.11,1293.561615,0.0,0.0,4.07,0.0,0.0,1,1,0.0,4.6117093,68.40446939,-8.8e-06,8.8e-06,1874.7186,9527470230.0,0.063728898,0.3,2.3,15795.58648,0.601,1,85.41,-0.31,0.34,0.0,,,0,,,,7281.249537,0.000361,-0.000361,0,7283.555392,0.0,1.148,0.02,-0.02,1,2017,Ariel,135.62295695771937,28.775593135145773,7.282895788773326,1
27,27,WASP-12 b,WASP-12 b,1.0,8.462711808,16.60250054,1.0,1.0,1.108532458,Eclipse,1,1,1,0,0,0,1.43,-0.11,0.11,6360.0,-140.0,140.0,1.66,-0.05,0.05,427.246,-5.903,6.068,4.16,-0.01,0.01,Gaia DR2 3435282862461427072,10.228,10.477,10.188,11.569,11.4999,10.111,0,0.07,-0.07,0.07,[Fe/H],2.0,-2.0,0.7,,97.636645,29.6722662,21.71179568,0.627702921,-0.627702921,1.937,0.056,-0.056,465.6186157,25.10844412,-25.10844412,1.465,0.079,-0.079,0,1,226.4,1.09142,69.49588939,-1.4e-07,1.4e-07,2499.272484,3496803790.0,0.023389992,0.3,2.3,10809.21964,0.339,1,83.52,-0.03,0.03,0.0447,-0.0043,0.0043,0,272.7,-1.3,2.4,6594.6816,4e-05,-4e-05,0,6595.22731,9885.205733,1.389,0.013,-0.013,1,2008,Ariel,197.26459760433963,10.071055580741815,12.690311525163034,1
28,28,WASP-14 b,WASP-14 b,19.98377815,281.1318652,549.062292,1.0,1.0,1.125483376,Eclipse,1,1,1,0,0,0,1.62,-0.39,0.39,6475.0,-100.0,100.0,1.4,-0.08,0.08,161.997,-0.802,0.81,4.07,-0.2,0.2,Gaia DR2 1242084170974175232,8.65,8.869,8.621,9.745,9.64647,8.567,0,0.0,,,[Fe/H],0.75,-0.25,0.25,,218.2766247,21.8946875,15.46839341,0.896718458,-0.896718458,1.38,0.08,-0.08,2294.721096,155.7359192,-158.9142033,7.22,0.49,-0.5,0,1,984.2,2.24375,71.73963939,-1e-05,1e-05,1799.902126,5893671993.0,0.039422555,0.3,2.3,10052.34681,0.499,1,84.32,-0.62,0.62,0.09,0.0,0.0,0,251.61,-0.41,0.41,5643.79792,0.00011,-0.00011,0,5644.919795,8470.431217,1.0,0.025,-0.025,1,2008,Ariel,175.10312060982272,97.78576423612158,10.053509474061995,1
29,29,KELT-24 b,KELT-24 b,10.3830841,82.39080636,159.0636952,1.0,1.0,1.128755028,Eclipse,1,1,1,0,0,0,1.46,-0.06,0.06,6509.0,-49.0,50.0,1.51,-0.02,0.02,96.5173,-0.3113,0.3132,4.25,-0.02,0.02,Gaia DR2 1076970406751899008,7.2,7.408,7.154,8.34,8.23752,7.058,0,0.186,-0.076,0.077,[Fe/H],0.78,-0.42,0.61,F7,161.9090273,71.655727,14.25782349,0.235388595,-0.235388595,1.272,0.021,-0.021,1490.615227,66.74396538,-69.92224945,4.69,0.21,-0.22,0,1,462.0,5.5514926,77.29113199,-8e-06,8.1e-06,1413.610529,10414108752.0,0.06965959,0.3,2.3,16633.69331,0.134,1,89.17,-0.75,0.59,0.077,-0.025,0.024,0,55.0,-15.0,13.0,8540.47759,0.00036,-0.00035,0,8543.253336,18873.28562,0.753,0.012,-0.012,1,2019,Ariel,167.77900989282588,74.76446494679374,8.695161801445854,1
30,30,KELT-17 b,KELT-17 b,1.0,6.839917198,13.5693898,1.0,1.0,1.145122254,Eclipse,1,1,1,0,0,0,1.64,-0.06,0.07,7454.0,-49.0,49.0,1.65,-0.06,0.06,226.5,-2.453,2.506,4.22,-0.02,0.02,Gaia DR2 651935220461650560,8.697,8.745,8.646,9.234,9.20887,8.62,0,-0.018,-0.072,0.074,[Fe/H],0.65,-0.15,0.15,A,125.617407,13.7353093,17.09369561,0.728583748,-0.672538844,1.525,0.065,-0.06,416.3552126,88.99195385,-92.17023791,1.31,0.28,-0.29,0,1,131.0,3.0801716,80.37130359,-5.2e-06,5.3e-06,2019.861101,7309638017.0,0.0488939,0.3,2.3,12477.62364,0.57,1,84.87,-0.43,0.45,0.0,,,0,,,,7226.142194,0.00033,-0.00033,0,7227.68228,0.0,0.907,0.017,-0.016,1,2016,Ariel,154.46629236975537,14.528748896397024,7.849839947553403,1
31,31,KELT-2 A b,KELT-2 A b,1.552016628,13.55724242,26.25994158,1.0,1.0,1.148289408,Eclipse,1,1,1,0,0,0,1.54,-0.28,0.28,6327.0,-80.0,80.0,1.93,-0.1,0.1,134.058,-0.793,0.802,4.5,,,Gaia DR2 3438059369839738624,7.417,7.669,7.346,8.68,8.58393,7.269,0,0.0,,,[Fe/H],3.97,-0.01,0.01,F8,92.6640226,30.9571333,15.13212399,0.896718458,-0.896718458,1.35,0.08,-0.08,485.3239769,27.65107137,-27.96889978,1.527,0.087,-0.088,0,1,162.3,4.11379,84.48509359,-1e-05,1e-05,1701.497909,8680930892.0,0.058066427,0.3,2.3,16645.55878,0.5,1,85.5657579,-1.2,1.2,0.0,,,0,90.0,,,5974.60338,0.00082,-0.00082,0,5976.660275,0.0,0.52,0.025,-0.025,1,2012,Ariel,149.06483366969348,21.61066392857891,7.806893160105517,1
32,32,TOI-2109 b,TOI-2109 b,19.94064341,317.5842288,622.5755266,1.0,1.0,1.160503357,Eclipse,1,1,1,0,0,0,1.45,-0.07,0.07,6540.0,-160.0,160.0,1.7,-0.06,0.06,262.041,-2.698,2.753,4.14,-0.05,0.04,Gaia DR2 4558177980120149632,9.129,9.382,9.07,10.217,10.1138,9.059,0,0.068,-0.062,0.07,[Fe/H],1.77,-0.68,0.88,F,253.1862971,16.5799153,15.09849704,0.526822094,-0.526822094,1.347,0.047,-0.047,1595.498601,238.3713049,-238.3713049,5.02,0.75,-0.75,0,1,860.0,0.67247414,85.15756773,-2.8e-07,3e-08,3049.33241,2543730161.0,0.017014917,0.3,2.3,6869.119178,0.7481,1,70.74,-0.37,0.37,0.0,,,0,,,,9378.45937,5.9e-05,-5.9e-05,0,9378.795607,0.0,0.6651,0.0036,-0.0036,2,2021,Ariel,192.7806032251269,71.36169143022836,15.07377227839028,1
33,33,WASP-82 b,WASP-82 b,1.0,7.64450745,14.88973374,1.0,1.0,1.236883747,Eclipse,1,1,1,0,0,0,1.48,-0.37,0.37,6480.0,-90.0,90.0,2.1,-0.16,0.16,275.664,-3.055,3.122,3.96,-0.03,0.03,Gaia DR2 3231856379348299008,8.868,9.046,8.759,10.073,9.89796,8.732,0,0.12,,,[Fe/H],,,,F5,72.6605916,1.8938365,18.15854878,1.457167495,-1.457167495,1.62,0.13,-0.13,371.8592357,63.56568132,-63.56568132,1.17,0.2,-0.2,0,1,130.7,2.70579,87.86335773,-2e-06,2e-06,2104.095408,6479098909.0,0.043338454,0.3,2.3,18081.12426,0.16,1,87.9,-1.65,1.65,0.0,,,0,,,,6157.9898,0.0005,-0.0005,0,6159.342695,0.0,0.63,0.01,-0.01,1,2015,Ariel,127.40076334336369,11.498797931873188,7.326958868002299,1
34,34,KELT-14 b,KELT-14 b,1.0,7.949384629,15.5931641,1.0,1.0,1.237604168,Eclipse,1,1,1,0,0,0,1.24,-0.04,0.04,5720.0,-130.0,130.0,1.52,-0.03,0.03,250.121,-1.529,1.549,4.17,-0.02,0.02,Gaia DR2 5560886336446650240,9.487001,9.808,9.424,11.001,10.8384,9.384,0,0.32,-0.09,0.09,[Fe/H],5.11,-0.8,0.8,G4,108.301409,-42.4097623,19.53725341,0.526822094,-0.526822094,1.743,0.047,-0.047,394.1072242,22.88364527,-22.88364527,1.24,0.072,-0.072,0,1,179.8,1.7100566,89.57341433,-2.6e-06,3.2e-06,1896.413932,4498270124.0,0.030088763,0.3,2.3,7899.037423,0.8622,1,78.3,-0.3,0.3,0.0,,,0,,,,6665.22401,0.00021,-0.00021,0,6666.079038,0.0,1.386,0.029,-0.029,1,2016,Ariel,205.09756762146822,10.527458073354204,12.294133604827437,1
35,35,WASP-140 b,WASP-140 b,1.478448029,23.68215772,46.45405434,1.0,1.0,1.242925993,Eclipse,1,1,1,0,0,0,0.9,-0.04,0.04,5260.0,-100.0,100.0,0.87,-0.04,0.04,117.598,-0.594,0.601,4.51,-0.04,0.04,Gaia DR2 5094154336330994688,9.24,9.609,9.165,11.118,10.8202,9.101,0,0.12,-0.1,0.1,[Fe/H],0.5,,,K0,60.3855387,-20.4509991,16.14093225,4.707771907,-2.017616532,1.44,0.42,-0.18,775.5013121,22.24798846,-22.24798846,2.44,0.07,-0.07,0,1,403.0,2.2359835,91.80939783,-8e-07,8e-07,1272.734581,4833828218.0,0.032333299,0.3,2.3,5471.396069,0.93,1,83.3,-0.8,0.5,0.047,-0.0035,0.0035,0,,,,6912.35105,0.00015,-0.00015,0,6913.469042,0.0,2.05,0.2,-0.05,1,2016,Ariel,273.04229083175943,30.350192618261453,16.237505069111663,1
36,36,HAT-P-67 b,HAT-P-67 b,1.0,1.0,1.0,1.0,1.0,1.372572717,Transit,1,1,1,0,0,0,1.64,-0.07,0.15,6406.0,-61.0,65.0,2.55,-0.08,0.1,371.686,-3.497,3.563,3.85,-0.02,0.01,Gaia DR2 1358614983131339392,8.961,9.145001,8.9,10.106,9.97496,8.856,0,-0.08,-0.05,0.05,[Fe/H],1.24,-0.22,0.27,,256.6107279,44.7768849,23.37072482,1.07606215,-0.795837632,2.085,0.096,-0.071,108.0616582,79.45710165,-60.38739725,0.34,0.25,-0.19,0,1,36.0,4.8101025,96.61950033,-3.3e-07,4.3e-07,1860.033202,9838951426.0,0.065812384,0.3,2.3,25853.09549,0.12,1,88.8,-1.3,1.1,0.0,,,0,,,,5961.38467,0.00076,-0.00064,0,5963.789721,0.0,,,,1,2017,Ariel,112.88937000338052,2.017267110995451,5.911188386180493,1
38,38,HAT-P-41 b,HAT-P-41 b,1.0,2.122127833,4.152780595,1.0,1.0,1.48076437,Eclipse,1,1,1,0,0,0,2.56,-1.9,1.9,6390.0,-100.0,100.0,2.05,-0.5,0.5,348.185,-4.417,4.529,4.14,-0.02,0.02,Gaia DR2 4290415081653653632,9.777,10.006,9.728,11.365,10.939,9.559,0,0.21,,,[Fe/H],2.2,-0.4,0.4,,297.3226523,4.6724124,22.9784105,5.604490365,-5.604490365,2.05,0.5,-0.5,254.2627253,31.78284066,-31.78284066,0.8,0.1,-0.1,0,1,0.0,2.69405,102.5257703,-4e-06,4e-06,1873.807621,7754998820.0,0.051872902,0.3,2.3,14811.65187,0.222,1,87.7,-1.0,1.0,0.0,,,0,,,,8071.24389,0.00012,-0.00012,0,8072.590915,0.0,1.1,0.033,-0.033,1,2012,Ariel,116.97994856017104,4.909970405065444,7.717349408887972,1
39,39,WASP-95 b,WASP-95 b,1.0,13.13377892,25.66860033,1.0,1.0,1.544341785,Eclipse,1,1,2,0,0,0,1.46,-0.42,0.42,5830.0,-140.0,140.0,1.23,-0.09,0.09,137.544,-0.786,0.795,4.36,-0.07,0.07,Gaia DR2 6518399301667782016,8.628,8.936,8.564,10.092,9.93697,8.513,0,0.14,,,[Fe/H],2.4,-1.0,1.7,G2,337.4578243,-48.0030988,13.7870463,1.008808266,-1.008808266,1.23,0.09,-0.09,382.6654015,22.56581687,-23.51930209,1.204,0.071,-0.074,0,1,175.5,2.18467,104.7104403,-1e-06,1e-06,1559.394901,5592502176.0,0.037408041,0.3,2.3,10029.35402,0.19,1,88.4,-1.65,1.65,0.0,,,0,,,,6607.17355,0.00023,-0.00023,0,6608.265885,0.0,1.0,0.03,-0.03,1,2014,Ariel,165.92929890444034,20.526404054509698,9.242670910995228,1
40,40,WASP-43 b,WASP-43 b,5.657418306,92.99417097,183.5153365,1.0,1.0,1.565496491,Eclipse,1,1,2,0,0,0,0.58,,0.05,4400.0,,200.0,0.6,,0.04,86.7467,-0.3257,0.3281,4.49,-0.1,0.13,Gaia DR2 3767805209112436736,9.397,9.995,9.267,12.305,11.907,9.152,0,-0.01,-0.15,0.15,[Fe/H],7.0,-7.0,7.0,K7 V,154.9081869,-9.8064431,10.42435208,0.784628651,-1.008808266,0.93,0.07,-0.09,651.5482335,15.89142033,-16.52707714,2.05,0.05,-0.052,0,1,551.7,0.813475,105.5239153,-1e-06,1e-06,1332.594418,2127829300.0,0.014232972,0.3,2.3,4113.012309,0.689,1,82.6,-0.9,1.3,0.0,,,0,90.0,,,5528.86774,0.00014,-0.00014,0,5529.274478,0.0,2.55,0.12,-0.12,1,2011,Ariel,308.4006977221149,61.134247869608366,17.370054938608128,1
41,41,WASP-79 b,WASP-79 b,1.0,2.983693858,5.832246842,1.0,1.0,1.574161185,Eclipse,1,1,2,0,0,0,1.43,-0.43,0.43,6600.0,-100.0,100.0,1.6,-0.14,0.14,246.69,-1.794,1.82,4.2,-0.15,0.15,Gaia DR2 4884779765893739904,9.123,9.299,9.056,10.044,9.97202,9.03,0,0.03,,,[Fe/H],1.4,-0.3,0.3,,66.3709016,-30.6004362,18.71899782,1.68134711,-1.68134711,1.67,0.15,-0.15,267.9293468,27.01541456,-25.42627253,0.843,0.085,-0.08,0,1,88.1,3.66238,109.1862953,-5e-06,5e-06,1700.784189,7837645112.0,0.05242572,0.3,2.3,14173.70867,0.5,1,85.4,-0.6,0.6,0.0,,,0,,,,8200.47327,0.00018,-0.00018,0,8202.30446,0.0,1.1,0.051,-0.051,1,2012,Ariel,143.71970526267438,7.796348461222786,7.478064782790677,1
42,42,KELT-3 b,KELT-3 b,1.0,13.57045518,26.51713921,1.0,1.0,1.642100802,Eclipse,1,1,2,0,0,0,1.96,-0.5,0.5,6304.0,-49.0,49.0,1.7,-0.12,0.12,210.252,-5.271,5.544,4.2,-0.03,0.03,Gaia DR2 806492019492266752,8.728,8.963,8.662,9.816,9.76324,8.574,0,0.05,,,[Fe/H],3.0,-0.2,0.2,,148.6431193,40.3879446,17.48600994,1.23298788,-1.23298788,1.56,0.11,-0.11,469.7503849,20.02318962,-19.70536121,1.478,0.063,-0.062,0,1,182.3,2.70339,111.8896853,-1e-05,1e-05,1757.994489,7110865633.0,0.047564319,0.3,2.3,11306.73812,0.606,1,84.14,-0.57,0.57,0.0,,,0,90.0,,,6269.48987,0.00029,-0.00029,0,6270.841565,0.0,0.89,0.02,-0.02,1,2013,Ariel,148.0266538139704,15.664691520345865,8.04336495652928,1
43,43,WASP-54 b,WASP-54 b,1.0,2.378550284,4.645354846,1.0,1.0,1.722928153,Eclipse,1,1,2,0,0,0,1.08,-0.38,0.38,6100.0,-100.0,100.0,1.76,-0.19,0.19,251.303,-4.327,4.478,4.0,-0.03,0.03,Gaia DR2 3661983850663908608,9.135,9.365,9.035,10.413,10.2441,9.007,0,-0.27,,,[Fe/H],6.9,-1.9,1.0,F9,205.4542456,-0.1281712,17.71018955,1.905526724,-1.905526724,1.58,0.17,-0.17,192.6040144,5.720911319,-5.720911319,0.606,0.018,-0.018,0,1,70.0,3.69364,115.5833253,-6e-06,6e-06,1722.740162,7178090697.0,0.048013985,0.3,2.3,16987.88861,0.49,1,84.97,-0.61,0.61,0.07,-0.03,0.03,0,62.0,-33.0,21.0,5518.35087,0.00049,-0.00056,0,5520.19769,19226.14519,0.86,0.02,-0.02,1,2012,Ariel,120.0475347378407,6.261163715818899,6.664207694592267,1
47,47,WASP-178 b,WASP-178 b,1.0,6.004050428,11.79428038,1.0,1.0,1.879806757,Eclipse,1,1,2,0,0,0,2.07,-0.11,0.11,9360.0,-150.0,150.0,1.67,-0.07,0.07,427.678,-10.786,11.35,4.31,-0.04,0.04,Gaia DR2 6003809889735481856,9.735,9.775,9.703,9.946,9.91226,9.67,0,0.21,-0.16,0.16,[Fe/H],0.43,-0.25,0.31,A1 IV-V,227.270329,-42.7049658,20.28825512,1.008808266,-1.008808266,1.81,0.09,-0.09,448.1380533,136.6662148,-162.0924874,1.41,0.43,-0.51,0,1,123.0,3.3448285,130.5054928,-1.2e-06,1.2e-06,2388.0138,8345851732.0,0.055825095,0.3,2.3,12472.51912,0.54,1,85.7,-0.6,0.6,0.0,,,0,,,,6927.06839,0.00047,-0.00047,0,6928.740804,0.0,1.243,0.028,-0.028,1,2019,Ariel,128.98155684104543,11.10090976484059,6.04578585075763,1
48,48,WASP-3 b,WASP-3 b,2.140933994,33.24563471,65.14239449,1.0,1.0,1.894343685,Eclipse,1,1,2,0,0,0,1.62,-0.53,0.53,6400.0,-100.0,100.0,1.44,-0.12,0.12,231.161,-1.625,1.648,4.25,-0.05,0.05,Gaia DR2 2095108312831835648,9.407,9.603,9.361,10.632,10.4525,9.32,0,0.0,,,[Fe/H],2.1,-1.2,1.2,,278.6317411,35.6614312,15.91675264,1.905526724,-1.905526724,1.42,0.17,-0.17,600.6956885,38.13940879,-38.13940879,1.89,0.12,-0.12,0,1,266.7,1.84683,132.3523228,-2e-06,2e-06,1925.257547,5176317797.0,0.034624199,0.3,2.3,9644.549523,0.511,1,85.06,-0.16,0.16,0.0,,,0,79.0,-130.0,10.0,5554.83317,7e-05,-7e-05,0,5555.756585,0.0,1.1,0.18,-0.18,1,2007,Ariel,140.1409074915872,24.175848471021016,8.346887379246885,1
50,50,CoRoT-2 b,CoRoT-2 b,4.30698981,70.92568542,139.2272692,1.0,1.0,1.939375414,Eclipse,1,1,2,0,0,0,0.96,-0.08,0.08,5625.0,-120.0,120.0,0.91,-0.03,0.03,213.283,-2.43,2.485,4.53,-0.02,0.02,Gaia DR2 4287820848378092672,10.438,10.783,10.31,12.516,12.2489,10.064,0,0.04,-0.05,0.05,[Fe/H],2.7,-2.7,3.2,,291.7770457,1.3836634,16.43236575,0.470777191,-0.493195152,1.466,0.042,-0.044,1052.012026,50.85254506,-50.85254506,3.31,0.16,-0.16,0,1,0.0,1.7429935,137.1716563,-1e-06,1e-06,1496.310943,4183298959.0,0.027981933,0.3,2.3,8340.735748,0.221,1,88.08,-0.16,0.18,0.0143,-0.0076,0.0077,0,102.0,-5.0,17.0,4237.53556,0.0002,-0.00021,0,4238.407057,8577.378045,2.75,0.012,-0.012,1,2008,Ariel,187.54713707868817,39.724337470338185,11.031797193045792,1
52,52,HAT-P-57 b,HAT-P-57 b,1.0,11.77632696,23.04567948,1.0,1.0,1.976325526,Eclipse,1,1,2,0,0,0,2.77,-1.74,1.74,6330.0,-124.0,124.0,1.85,-0.39,0.39,279.86,-3.176,3.249,4.25,-0.02,0.02,Gaia DR2 4483640815570090368,9.497,9.67,9.433,10.639,10.4253,9.274,0,-0.25,,,[Fe/H],1.0,-0.51,0.67,A8 V,274.743418,10.5971968,19.50362647,4.035233063,-4.035233063,1.74,0.36,-0.36,448.1380533,483.099178,-483.099178,1.41,1.52,-1.52,0,1,215.2,2.4653,143.5050963,-3e-06,3e-06,1792.567196,7504200341.0,0.05019532,0.3,2.3,12654.11496,0.177,1,88.26,-0.85,0.85,0.0,,,0,,,,5113.48127,0.00048,-0.00048,0,5114.71392,0.0,0.94,0.029,-0.029,1,2015,Ariel,111.88171316640201,12.012052609523801,7.129157553013001,1
53,53,WASP-19 b,WASP-19 b,1.006634681,16.83999562,33.06675657,1.0,1.0,1.983199694,Eclipse,1,1,2,0,0,0,0.97,-0.1,0.09,5616.0,-65.0,66.0,1.01,-0.03,0.03,268.325,-1.698,1.72,4.42,-0.02,0.02,Gaia DR2 5411736896952029568,10.602,10.911,10.481,12.248,12.1088,10.436,0,0.04,-0.3,0.25,[Fe/H],6.4,-3.5,4.1,G8 V,148.4167672,-45.6591078,15.86070773,0.493195152,-0.538031075,1.415,0.044,-0.048,366.7739812,24.79061571,-25.42627253,1.154,0.078,-0.08,0,1,255.4,0.78883852,144.2939349,-8.2e-07,7.5e-07,2046.376552,2474461101.0,0.016551579,0.3,2.3,5791.123312,0.6671,1,79.08,-0.37,0.34,0.0126,-0.0089,0.014,0,51.0,-190.0,89.0,6402.7128,0.0017,-0.0014,0,6403.107219,5905.658659,2.077,0.014,-0.014,1,2009,Ariel,215.65483425302887,14.865842889716317,13.67241499446247,1
54,54,WASP-103 b,WASP-103 b,1.555504348,25.71306614,50.47089168,1.0,1.020585962,2.032264301,Eclipse,1,1,2,0,0,0,1.22,-0.04,0.04,6110.0,-160.0,160.0,1.44,-0.03,0.05,375.647,,,4.22,-0.05,0.12,Gaia DR2 4439085988769170432,10.857,11.1,10.767,12.402,12.1931,10.72,0,0.06,-0.13,0.13,[Fe/H],4.0,-1.0,1.0,F8 V,249.3148604,7.1833758,17.12732256,0.818255593,-0.526822094,1.528,0.073,-0.047,462.4403316,28.60455659,-28.922385,1.455,0.09,-0.091,0,1,268.0,0.925542,145.2194769,-1.9e-05,1.9e-05,2425.974311,2971314878.0,0.019875016,0.3,2.3,9599.822445,0.19,1,86.3,-2.7,2.7,0.0,,,1,,,,6459.59957,0.00075,-0.00075,0,6460.062341,0.0,1.195,0.042,-0.038,1,2014,Ariel,125.57879399863702,16.073590299307856,10.296377486642603,1
57,57,KELT-18 b,KELT-18 b,1.0,12.2715707,23.98163121,1.0,1.130020584,2.246398952,Eclipse,1,1,2,0,0,0,1.52,-0.07,0.07,6670.0,-120.0,120.0,1.91,-0.04,0.04,321.376,-2.47,2.509,4.06,-0.01,0.01,Gaia DR2 1612165353793791488,9.272,9.454001,9.21,10.16,10.1036,9.135,0,0.09,-0.13,0.13,[Fe/H],1.9,-0.2,0.2,F4 V,216.5238248,59.4442735,17.59809975,0.470777191,-0.403523306,1.57,0.042,-0.036,375.0375198,34.96112473,-34.96112473,1.18,0.11,-0.11,0,1,127.0,2.8717518,156.9960603,-2.8e-06,2.8e-06,2015.929666,6801589916.0,0.045495585,0.3,2.3,16779.04027,0.102,1,88.86,-1.2,0.79,0.0,,,0,,,,7542.52504,0.00039,-0.00039,0,7543.960916,0.0,0.716,0.015,-0.015,1,2017,Ariel,106.67649680528908,12.347507880745303,5.751378401991988,1
60,60,WASP-87 b,WASP-87 b,4.710517889,74.24146825,145.5031947,1.0,1.234966858,2.460147503,Eclipse,1,1,2,0,0,0,1.2,-0.09,0.09,6450.0,-120.0,120.0,1.63,-0.06,0.06,298.392,-3.536,3.622,4.16,-0.09,0.09,Gaia DR2 6077185317188247936,9.593,9.832,9.552,10.727,10.7091,9.4,0,,,,,,,,,185.3246821,-52.8408163,15.52443831,0.672538844,-0.672538844,1.385,0.06,-0.06,692.8659264,47.67426099,-47.67426099,2.18,0.15,-0.15,0,1,325.0,1.682795,167.6438664,-1.9e-06,1.9e-06,2238.559601,4401957756.0,0.029444533,0.3,2.3,10874.99802,0.604,1,81.07,-0.63,0.63,0.0,,,0,,,,7082.07656,0.00021,-0.00021,0,7082.917957,0.0,0.765,0.013,-0.013,1,2016,Ariel,118.03139695368456,29.31254699493465,7.285175769379921,1
