,Unnamed: 0_x,Planet Name,Rp/R_star,To (K),T day (K),T night (K),Del_Temp (K),Unnamed: 0_y,Star Name,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Cumulative time (days),Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Telescope,ESM,pl_g,ESM High,ESM Low
0,0,HD 189733 b,0.15639,1699,1216.9,929,287.9000000000001,2,HD 189733 b,1.0,1.0,1.213407685,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,0.79,-0.08,0.08,5052.0,-16.0,16.0,0.75,-0.01,0.01,19.7638,-0.0127,0.0128,4.49,-0.05,0.05,Gaia DR2 1827242816201846144,5.587,6.073,5.541,7.67,7.41432,5.289,0,-0.02,,,[Fe/H],1.4,-1.9,4.9,K2 V,300.1821223,22.7097759,12.66614823,0.112089807,-0.112089807,1.13,0.01,-0.01,370.5879221,16.52707714,-15.57359192,1.166,0.052,-0.049,0,1,208.0,2.21857567,7.11290839,-1.5e-07,1.5e-07,1162.930605,4604224671.0,0.030797489,0.3,2.3,6544.78771,0.6636,1,85.71,0.0,0.0,0.0,,,0,20.0,-50.0,37.0,3955.525551,9e-06,-9e-06,0,3956.634839,0.0,2.4,0.0058,-0.0058,1,2005,Ariel,1063.0232002215917,23.55256836030353,1159.0961656073669,668.0742197639576
1,1,WASP-43 b,0.15935,1994,1476.0,640,836.0,40,WASP-43 b,5.657418306,92.99417097,183.5153365,1.0,1.0,1.565496491,Eclipse,1,1,2,0,0,0,0.58,,0.05,4400.0,,200.0,0.6,,0.04,86.7467,-0.3257,0.3281,4.49,-0.1,0.13,Gaia DR2 3767805209112436736,9.397,9.995,9.267,12.305,11.907,9.152,0,-0.01,-0.15,0.15,[Fe/H],7.0,-7.0,7.0,K7 V,154.9081869,-9.8064431,10.42435208,0.784628651,-1.008808266,0.93,0.07,-0.09,651.5482335,15.89142033,-16.52707714,2.05,0.05,-0.052,0,1,551.7,0.813475,105.5239153,-1e-06,1e-06,1332.594418,2127829300.0,0.014232972,0.3,2.3,4113.012309,0.689,1,82.6,-0.9,1.3,0.0,,,0,90.0,,,5528.86774,0.00014,-0.00014,0,5529.274478,0.0,2.55,0.12,-0.12,1,2011,Ariel,308.4006977221149,61.134247869608366,368.7612955276968,58.36441772202357
2,2,Qatar-1 b,0.1464,2005,1535.0,900,635.0,111,Qatar-1 b,3.464847696,57.51544661,112.9141939,1.0,2.841334587,5.552242213,Eclipse,1,3,6,0,0,0,0.84,-0.04,0.04,5013.0,-88.0,93.0,0.8,-0.02,0.02,185.615,-0.797,0.805,4.55,-0.01,0.01,Gaia DR2 2244830490514284928,10.527,10.999,10.409,12.692,12.4764,10.325,0,0.171,-0.094,0.097,[Fe/H],1.19,-0.47,0.47,,303.3818697,65.1623313,12.81186498,0.291433499,-0.280224518,1.143,0.026,-0.025,419.8513251,13.03096467,-12.71313626,1.321,0.041,-0.04,0,1,264.7,1.4200242,332.8035186,-2.2e-07,2.2e-07,1368.842011,3490236899.0,0.023346066,0.3,2.3,5925.41362,0.645,1,84.08,-0.15,0.16,0.0,,,0,,,,6234.103218,6.1e-05,-6.1e-05,0,6234.81323,0.0,2.14,0.019,-0.019,1,2010,Ariel,138.5826296627295,26.07996272591469,168.78438348147418,60.01733627946702
3,3,HD 209458 b,0.12047,2052,1418.0,1009,409.0,4,HD 209458 b,1.0,1.0,1.0,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.23,-0.09,0.09,6091.0,-10.0,10.0,1.19,-0.02,0.02,48.3016,-0.1234,0.124,4.45,-0.02,0.02,Gaia DR2 1779546757669063552,6.366,6.591,6.308,7.65,7.50866,6.308,0,0.01,,,[Fe/H],3.1,-0.7,0.8,G0 V,330.7950219,18.8842419,15.58048322,0.224179615,-0.224179615,1.39,0.02,-0.02,216.7589733,4.449597692,-4.767426099,0.682,0.014,-0.015,0,1,84.27,3.52474859,13.94661498,-3.8e-07,3.8e-07,1405.91027,7265828019.0,0.048600856,0.3,2.3,11050.66673,0.507,1,86.71,-0.05,0.05,0.0,,,0,0.0,0.0,0.0,1659.93742,2e-05,-2e-05,0,1661.699794,0.0,1.5,0.0024,-0.0024,1,1999,Ariel,509.5210349991608,9.10440112300741,517.1805149188309,270.1969134687635
4,4,WASP-14 b,0.09561,2631,2401.0,1391,1010.0,28,WASP-14 b,19.98377815,281.1318652,549.062292,1.0,1.0,1.125483376,Eclipse,1,1,1,0,0,0,1.62,-0.39,0.39,6475.0,-100.0,100.0,1.4,-0.08,0.08,161.997,-0.802,0.81,4.07,-0.2,0.2,Gaia DR2 1242084170974175232,8.65,8.869,8.621,9.745,9.64647,8.567,0,0.0,,,[Fe/H],0.75,-0.25,0.25,,218.2766247,21.8946875,15.46839341,0.896718458,-0.896718458,1.38,0.08,-0.08,2294.721096,155.7359192,-158.9142033,7.22,0.49,-0.5,0,1,984.2,2.24375,71.73963939,-1e-05,1e-05,1799.902126,5893671993.0,0.039422555,0.3,2.3,10052.34681,0.499,1,84.32,-0.62,0.62,0.09,0.0,0.0,0,251.61,-0.41,0.41,5643.79792,0.00011,-0.00011,0,5644.919795,8470.431217,1.0,0.025,-0.025,1,2008,Ariel,175.10312060982272,97.78576423612158,268.25073505022186,114.34112677725449
5,5,WASP-19 b,0.1384,2993,2291.0,1380,911.0,53,WASP-19 b,1.006634681,16.83999562,33.06675657,1.0,1.0,1.983199694,Eclipse,1,1,2,0,0,0,0.97,-0.1,0.09,5616.0,-65.0,66.0,1.01,-0.03,0.03,268.325,-1.698,1.72,4.42,-0.02,0.02,Gaia DR2 5411736896952029568,10.602,10.911,10.481,12.248,12.1088,10.436,0,0.04,-0.3,0.25,[Fe/H],6.4,-3.5,4.1,G8 V,148.4167672,-45.6591078,15.86070773,0.493195152,-0.538031075,1.415,0.044,-0.048,366.7739812,24.79061571,-25.42627253,1.154,0.078,-0.08,0,1,255.4,0.78883852,144.2939349,-8.2e-07,7.5e-07,2046.376552,2474461101.0,0.016551579,0.3,2.3,5791.123312,0.6671,1,79.08,-0.37,0.34,0.0126,-0.0089,0.014,0,51.0,-190.0,89.0,6402.7128,0.0017,-0.0014,0,6403.107219,5905.658659,2.077,0.014,-0.014,1,2009,Ariel,215.65483425302887,14.865842889716317,254.2234219911557,114.20706391584028
6,6,HAT-P-7 b,0.0774,3145,2930.0,2520,410.0,66,HAT-P-7 b,3.260665063,49.2371659,96.37304267,1.0,1.449097775,2.883595533,Eclipse,1,1,3,0,0,0,1.56,-0.68,0.68,6389.0,-17.0,17.0,2.0,-0.28,0.28,341.079,-2.397,2.431,4.07,-0.06,0.06,Gaia DR2 2129256395211984000,9.344,9.555,9.334,10.481,10.3654,9.275,0,0.26,,,[Fe/H],2.07,-0.23,0.28,,292.24719,47.9695429,16.9255609,2.353885953,-2.353885953,1.51,0.21,-0.21,573.9981023,11.44182264,-11.44182264,1.806,0.036,-0.036,0,1,211.9,2.20474,186.4776593,-1.7e-05,1.7e-05,2148.64046,5752338488.0,0.038477181,0.3,2.3,14153.99828,0.496,1,83.11,-0.03,0.03,0.0,,,0,204.0,-89.0,53.0,4954.358572,4e-06,-4e-06,0,4955.460942,0.0,0.6,0.0005,-0.0005,1,2008,Ariel,98.15635330525502,20.429628104513657,151.0619644625746,123.13736592399172
7,7,WASP-18 b,0.09831,3388,3151.0,960,2191.0,11,WASP-18 b,28.32723102,382.5540411,746.2336336,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.29,-0.06,0.06,6432.0,-48.0,48.0,1.32,-0.06,0.06,123.483,-0.369,0.371,4.31,-0.03,0.04,Gaia DR2 4955371367334610048,8.231,8.409,8.131,9.28,9.16617,8.075,0,0.107,-0.08,0.08,[Fe/H],1.57,-0.94,1.4,F6 IV-V,24.3544618,-45.6777937,13.89913611,0.885509478,-0.885509478,1.24,0.079,-0.079,3241.849747,111.2399423,-111.2399423,10.2,0.35,-0.35,0,1,1814.0,0.94145223,26.66964565,-2.4e-07,2.4e-07,2408.746207,3061681962.0,0.020479478,0.3,2.3,8176.001493,0.36,1,83.5,-1.6,2.0,0.0051,-0.0037,0.007,0,-85.0,-96.0,72.0,6740.8056,0.00019,-0.00019,0,6741.276326,0.0,1.041,0.022,-0.022,1,2009,Ariel,309.0634096163275,171.10134007408683,444.3310738001078,63.704936857005755
8,8,KELT-1 b,0.0742,3435,3240.0,1350,1890.0,78,KELT-1 b,1751.144929,27816.91545,54522.95252,1.0,1.813436955,3.613265017,Eclipse,1,2,4,0,0,0,1.32,,0.03,6518.0,,50.0,1.46,,0.04,268.43,-2.989,3.057,4.25,-0.08,0.11,Gaia DR2 2881784280929695360,9.534,9.682,9.437,10.632,10.5905,9.414,0,0.131,-0.009,0.009,[M/H],,,,,0.3620995,39.3837953,12.44196861,0.358687383,-0.246597576,1.11,0.032,-0.022,8654.467512,158.9142033,-152.5576352,27.23,0.5,-0.48,0,1,0.0,1.217514,220.4443755,-1.5e-05,1.5e-05,2347.251172,3662170833.0,0.024496126,0.3,2.3,9919.092594,0.232,1,87.8,-1.9,1.3,0.0099,-0.0069,0.01,0,61.0,-79.0,71.0,5914.1628,0.0023,-0.0022,0,5914.771557,10092.36652,0.6086,0.0094,-0.0089,1,2012,Ariel,105.33456414756668,570.0307620942286,162.84958877877804,43.96800984825514
9,9,KELT-16 b,0.1074,3469,3070.0,1900,1170.0,101,KELT-16 b,13.22484106,221.8210158,435.4927434,1.0,2.576654673,5.12362734,Eclipse,1,3,5,0,0,0,1.21,-0.05,0.04,6236.0,-54.0,54.0,1.36,-0.05,0.06,444.586,-5.441,5.574,4.25,-0.04,0.03,Gaia DR2 1864885215233116032,10.692,10.928,10.642,11.717,11.7959,10.594,0,-0.002,-0.085,0.086,[Fe/H],3.1,-0.3,0.3,F7 V,314.2685227,31.6610186,15.86070773,0.941554381,-0.751001709,1.415,0.084,-0.067,874.0281181,50.85254506,-47.67426099,2.75,0.16,-0.15,0,1,494.0,0.9689951,294.0565347,-2.4e-06,2.4e-06,2372.975362,3055208291.0,0.020436176,0.3,2.3,8906.925739,0.32,1,84.4,-2.3,3.0,0.0,,,0,,,,7247.24791,0.00019,-0.00019,0,7247.732408,0.0,1.146,0.029,-0.025,1,2017,Ariel,121.06291046589159,35.425535482426234,171.8093580569682,87.35276199125406
10,10,WASP-103 b,0.11551,3540,2971.0,920,2051.0,54,WASP-103 b,1.555504348,25.71306614,50.47089168,1.0,1.020585962,2.032264301,Eclipse,1,1,2,0,0,0,1.22,-0.04,0.04,6110.0,-160.0,160.0,1.44,-0.03,0.05,375.647,,,4.22,-0.05,0.12,Gaia DR2 4439085988769170432,10.857,11.1,10.767,12.402,12.1931,10.72,0,0.06,-0.13,0.13,[Fe/H],4.0,-1.0,1.0,F8 V,249.3148604,7.1833758,17.12732256,0.818255593,-0.526822094,1.528,0.073,-0.047,462.4403316,28.60455659,-28.922385,1.455,0.09,-0.091,0,1,268.0,0.925542,145.2194769,-1.9e-05,1.9e-05,2425.974311,2971314878.0,0.019875016,0.3,2.3,9599.822445,0.19,1,86.3,-2.7,2.7,0.0,,,1,,,,6459.59957,0.00075,-0.00075,0,6460.062341,0.0,1.195,0.042,-0.038,1,2014,Ariel,125.57879399863702,16.073590299307856,165.46405192491497,23.334906224492144
11,11,MASCARA-1 b,0.07881,3600,2952.0,1300,1652.0,6,MASCARA-1 b,3.29491431,29.60186667,57.7178329,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.72,-0.07,0.07,7554.0,-150.0,150.0,2.1,-0.2,0.2,182.273,-1.922,1.963,4.0,,,Gaia DR2 1744911763437512064,7.749,7.819,7.74,8.28,8.24243,7.658,0,0.0,,,[Fe/H],1.0,-0.2,0.2,A8,317.5515264,10.7388967,16.8134711,3.362694219,-3.362694219,1.5,0.3,-0.3,1175.965104,286.0455659,-286.0455659,3.7,0.9,-0.9,0,1,0.0,2.14878,17.07636838,-8e-06,8e-06,2583.193818,5841648628.0,0.039074573,0.3,2.3,15767.8035,0.2,1,87.0,-3.0,2.0,0.0,,,0,,,,7097.278,0.002,-0.002,0,7098.35239,0.0,,,,1,2017,Ariel,196.16314209532223,42.41464295609102,234.87514536643758,66.92721692827678
12,12,WASP-12 b,0.1047,3674,2920.0,1110,1810.0,27,WASP-12 b,1.0,8.462711808,16.60250054,1.0,1.0,1.108532458,Eclipse,1,1,1,0,0,0,1.43,-0.11,0.11,6360.0,-140.0,140.0,1.66,-0.05,0.05,427.246,-5.903,6.068,4.16,-0.01,0.01,Gaia DR2 3435282862461427072,10.228,10.477,10.188,11.569,11.4999,10.111,0,0.07,-0.07,0.07,[Fe/H],2.0,-2.0,0.7,,97.636645,29.6722662,21.71179568,0.627702921,-0.627702921,1.937,0.056,-0.056,465.6186157,25.10844412,-25.10844412,1.465,0.079,-0.079,0,1,226.4,1.09142,69.49588939,-1.4e-07,1.4e-07,2499.272484,3496803790.0,0.023389992,0.3,2.3,10809.21964,0.339,1,83.52,-0.03,0.03,0.0447,-0.0043,0.0043,0,272.7,-1.3,2.4,6594.6816,4e-05,-4e-05,0,6595.22731,9885.205733,1.389,0.013,-0.013,1,2008,Ariel,197.26459760433963,10.071055580741815,243.68056340358646,52.19221305340209
13,13,WASP-33 b,0.11009,3932,3232.0,1559,1673.0,13,WASP-33 b,1.0,2.223157227,4.373788659,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.5,-0.03,0.03,7430.0,-100.0,100.0,1.44,-0.03,0.03,121.944,-0.983,0.998,4.25,-0.07,0.1,Gaia DR2 328636019723252096,7.516,7.581,7.468,8.14,8.07004,7.383,0,0.1,,,[M/H],,,,A5,36.7127375,37.5504441,17.8559063,0.829464574,-0.829464574,1.593,0.074,-0.074,665.214855,44.17814852,-44.17814852,2.093,0.139,-0.139,0,1,304.0,1.21987,30.61354865,-1e-06,1e-06,2599.597377,3826520992.0,0.025595458,0.3,2.3,9739.03043,0.21,1,86.63,-0.03,0.03,0.0,,,0,,,,4163.22367,0.00022,-0.00022,0,4163.833605,0.0,1.1,0.019,-0.019,1,2010,Ariel,548.1600364601858,21.273271669423547,732.6119027450871,254.19579736566521
14,14,KELT-9 b,0.08044,5720,4450.0,3290,1160.0,20,KELT-9 b,1.0,1.793284766,3.47511354,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,2.52,-0.2,0.25,10170.0,-450.0,450.0,2.36,-0.06,0.07,204.455,-1.558,1.582,4.09,-0.01,0.01,Gaia DR2 2064327278651198336,7.492,7.458,7.482,7.55,7.57675,7.399,0,-0.03,-0.2,0.2,[Fe/H],0.3,,,B9.5-A0,307.8598998,39.9389161,21.19618256,0.683747825,-0.594075979,1.891,0.061,-0.053,775.5013121,222.4798846,-222.4798846,2.44,0.7,-0.7,0,1,0.0,1.4811235,50.43133589,-1.1e-06,1.1e-06,3916.236076,5177168998.0,0.034629893,0.3,2.3,14066.71499,0.177,1,86.79,-0.25,0.25,0.0,,,0,90.0,,,7095.68572,0.00014,-0.00014,0,7096.426282,0.0,0.677,0.0072,-0.0072,1,2017,Ariel,343.14587053546205,17.599623537032397,401.22764063188015,275.3497356526222
15,15,CoRoT-2 b,0.1704,2175,1756.0,873,883.0,50,CoRoT-2 b,4.30698981,70.92568542,139.2272692,1.0,1.0,1.939375414,Eclipse,1,1,2,0,0,0,0.96,-0.08,0.08,5625.0,-120.0,120.0,0.91,-0.03,0.03,213.283,-2.43,2.485,4.53,-0.02,0.02,Gaia DR2 4287820848378092672,10.438,10.783,10.31,12.516,12.2489,10.064,0,0.04,-0.05,0.05,[Fe/H],2.7,-2.7,3.2,,291.7770457,1.3836634,16.43236575,0.470777191,-0.493195152,1.466,0.042,-0.044,1052.012026,50.85254506,-50.85254506,3.31,0.16,-0.16,0,1,0.0,1.7429935,137.1716563,-1e-06,1e-06,1496.310943,4183298959.0,0.027981933,0.3,2.3,8340.735748,0.221,1,88.08,-0.16,0.18,0.0143,-0.0076,0.0077,0,102.0,-5.0,17.0,4237.53556,0.0002,-0.00021,0,4238.407057,8577.378045,2.75,0.012,-0.012,1,2008,Ariel,187.54713707868817,39.724337470338185,243.61528710793763,64.9301706533073
